Date,Open,High,Low,Close,Adj Close,Volume
19-08-2002,5.07,5.07,4.86,4.91,3.65,205880
28-10-2002,5,5.05,4.92,4.96,3.69,134504
29-10-2002,4.94,5.04,4.92,5,3.72,143024
16-08-2002,5.02,5.26,4.94,5.03,3.74,811856
25-10-2002,5.05,5.13,5.02,5.03,3.74,172296
14-08-2002,5.43,5.43,4.94,5.04,3.75,822776
15-08-2002,5.04,5.04,5.04,5.04,3.75,0
20-08-2002,4.94,5.36,4.91,5.04,3.75,3773624
13-11-2002,5.13,5.15,5.04,5.07,3.77,106264
01-10-2002,5.15,5.22,5,5.08,3.78,240192
02-10-2002,5.08,5.08,5.08,5.08,3.78,0
11-11-2002,5.19,5.19,5.07,5.08,3.78,66568
30-10-2002,5.05,5.18,5.01,5.09,3.78,164320
05-11-2002,5.1,5.16,5.06,5.1,3.79,70288
06-11-2002,5.1,5.1,5.1,5.1,3.79,0
01-11-2002,5.19,5.28,5.08,5.11,3.8,108792
12-11-2002,5.05,5.19,5.05,5.11,3.8,106864
30-09-2002,5.24,5.32,5.02,5.13,3.81,202232
14-11-2002,5.15,5.24,5.07,5.13,3.82,211856
24-09-2002,5.3,5.3,5.08,5.14,3.82,267912
24-10-2002,5.29,5.3,5.1,5.14,3.82,168744
04-11-2002,5.19,5.19,5.11,5.15,3.83,56560
08-11-2002,5.15,5.22,5.12,5.16,3.84,77664
07-10-2002,5.22,5.26,5.12,5.17,3.84,110976
09-10-2002,5.33,5.41,5.13,5.17,3.85,277040
31-10-2002,5.12,5.19,5.09,5.17,3.84,118928
25-09-2002,5.02,5.22,4.98,5.18,3.85,379544
10-10-2002,5.33,5.33,5.07,5.18,3.85,173224
04-10-2002,5.29,5.31,5.13,5.19,3.86,258296
03-10-2002,5.15,5.5,5.15,5.22,3.88,673264
23-10-2002,5.29,5.35,5.19,5.23,3.89,153320
14-10-2002,5.38,5.39,5.2,5.25,3.9,152744
15-10-2002,5.25,5.25,5.25,5.25,3.9,0
22-10-2002,5.5,5.5,5.22,5.25,3.91,229384
07-11-2002,5.19,5.46,5.19,5.25,3.91,204880
15-11-2002,5.25,5.28,5.19,5.25,3.9,154144
26-09-2002,5.28,5.34,5.22,5.26,3.91,178136
16-10-2002,5.92,5.92,5.22,5.26,3.91,247760
17-10-2002,5.29,5.29,5.19,5.26,3.91,144512
21-08-2002,5.32,5.42,5.05,5.29,3.93,3011064
11-10-2002,5.32,5.39,5.27,5.29,3.93,192536
18-11-2002,5.29,5.36,5.23,5.3,3.94,217672
19-11-2002,5.3,5.3,5.3,5.3,3.94,0
08-10-2002,5.18,5.36,5.15,5.31,3.95,227352
31-03-2003,4.49,5.49,4.49,5.31,3.95,230712
02-04-2003,5.31,5.31,5.31,5.31,3.95,0
03-04-2003,5.31,5.31,5.31,5.31,3.95,0
04-04-2003,5.31,5.31,5.31,5.31,3.95,0
07-04-2003,5.31,5.31,5.31,5.31,3.95,0
08-04-2003,5.31,5.31,5.31,5.31,3.95,0
09-04-2003,5.31,5.31,5.31,5.31,3.95,0
10-04-2003,5.31,5.31,5.31,5.31,3.95,0
11-04-2003,5.31,5.31,5.31,5.31,3.95,0
14-04-2003,5.31,5.31,5.31,5.31,3.95,0
15-04-2003,5.31,5.31,5.31,5.31,3.95,0
16-04-2003,5.31,5.31,5.31,5.31,3.95,0
17-04-2003,5.31,5.31,5.31,5.31,3.95,0
18-04-2003,5.31,5.31,5.31,5.31,3.95,0
21-04-2003,5.31,5.31,5.31,5.31,3.95,0
22-04-2003,5.31,5.31,5.31,5.31,3.95,0
23-04-2003,5.31,5.31,5.31,5.31,3.95,0
24-04-2003,5.31,5.31,5.31,5.31,3.95,0
25-04-2003,5.31,5.31,5.31,5.31,3.95,0
28-04-2003,5.31,5.31,5.31,5.31,3.95,0
29-04-2003,5.31,5.31,5.31,5.31,3.95,0
30-04-2003,5.31,5.31,5.31,5.31,3.95,0
01-05-2003,5.31,5.31,5.31,5.31,3.95,0
02-05-2003,5.31,5.31,5.31,5.31,3.95,0
05-05-2003,5.31,5.31,5.31,5.31,3.95,0
06-05-2003,5.31,5.31,5.31,5.31,3.95,0
07-05-2003,5.31,5.31,5.31,5.31,3.95,0
08-05-2003,5.31,5.31,5.31,5.31,3.95,0
09-05-2003,5.31,5.31,5.31,5.31,3.95,0
12-05-2003,5.31,5.31,5.31,5.31,3.95,0
13-05-2003,5.31,5.31,5.31,5.31,3.95,0
14-05-2003,5.31,5.31,5.31,5.31,3.95,0
15-05-2003,5.31,5.31,5.31,5.31,3.95,0
16-05-2003,5.31,5.31,5.31,5.31,3.95,0
19-05-2003,5.31,5.31,5.31,5.31,3.95,0
20-05-2003,5.31,5.31,5.31,5.31,3.95,0
21-05-2003,5.31,5.31,5.31,5.31,3.95,0
22-05-2003,5.31,5.31,5.31,5.31,3.95,0
23-05-2003,5.31,5.31,5.31,5.31,3.95,0
26-05-2003,5.31,5.31,5.31,5.31,3.95,0
27-05-2003,5.31,5.31,5.31,5.31,3.95,0
28-05-2003,5.31,5.31,5.31,5.31,3.95,0
29-05-2003,5.31,5.31,5.31,5.31,3.95,0
30-05-2003,5.31,5.31,5.31,5.31,3.95,0
02-06-2003,5.31,5.31,5.31,5.31,3.95,0
03-06-2003,5.31,5.31,5.31,5.31,3.95,0
04-06-2003,5.31,5.31,5.31,5.31,3.95,0
05-06-2003,5.31,5.31,5.31,5.31,3.95,0
06-06-2003,5.31,5.31,5.31,5.31,3.95,0
09-06-2003,5.31,5.31,5.31,5.31,3.95,0
10-06-2003,5.31,5.31,5.31,5.31,3.95,0
11-06-2003,5.31,5.31,5.31,5.31,3.95,0
12-06-2003,5.31,5.31,5.31,5.31,3.95,0
13-06-2003,5.31,5.31,5.31,5.31,3.95,0
16-06-2003,5.31,5.31,5.31,5.31,3.95,0
17-06-2003,5.31,5.31,5.31,5.31,3.95,0
18-06-2003,5.31,5.31,5.31,5.31,3.95,0
19-06-2003,5.31,5.31,5.31,5.31,3.95,0
20-06-2003,5.31,5.31,5.31,5.31,3.95,0
23-06-2003,5.31,5.31,5.31,5.31,3.95,0
24-06-2003,5.31,5.31,5.31,5.31,3.95,0
25-06-2003,5.31,5.31,5.31,5.31,3.95,0
26-06-2003,5.31,5.31,5.31,5.31,3.95,0
27-06-2003,5.31,5.31,5.31,5.31,3.95,0
30-06-2003,5.31,5.31,5.31,5.31,3.95,0
01-07-2003,5.31,5.31,5.31,5.31,3.95,0
02-07-2003,5.31,5.31,5.31,5.31,3.95,0
03-07-2003,5.31,5.31,5.31,5.31,3.95,0
04-07-2003,5.31,5.31,5.31,5.31,3.95,0
07-07-2003,5.31,5.31,5.31,5.31,3.95,0
08-07-2003,5.31,5.31,5.31,5.31,3.95,0
09-07-2003,5.31,5.31,5.31,5.31,3.95,0
10-07-2003,5.31,5.31,5.31,5.31,3.95,0
11-07-2003,5.31,5.31,5.31,5.31,3.95,0
14-07-2003,5.31,5.31,5.31,5.31,3.95,0
15-07-2003,5.31,5.31,5.31,5.31,3.95,0
16-07-2003,5.31,5.31,5.31,5.31,3.95,0
17-07-2003,5.31,5.31,5.31,5.31,3.95,0
18-07-2003,5.31,5.31,5.31,5.31,3.95,0
21-07-2003,5.31,5.31,5.31,5.31,3.95,0
22-07-2003,5.31,5.31,5.31,5.31,3.95,0
